START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/17/24,01:05 PM,01:05 PM,Orioles at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"",03/17/24,03/17/24,04:05 PM,04:05 PM,FALSE,TRUE,03/17/24,12:05 PM,12:05 PM,FREE,BUSY
03/19/24,01:07 PM,01:07 PM,Orioles at Blue Jays,TD Ballpark - Dunedin,"Local TV: MASN",03/19/24,03/19/24,04:07 PM,04:07 PM,FALSE,TRUE,03/19/24,12:07 PM,12:07 PM,FREE,BUSY
03/20/24,06:05 PM,06:05 PM,Phillies at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN",03/20/24,03/20/24,09:05 PM,09:05 PM,FALSE,TRUE,03/20/24,05:05 PM,05:05 PM,FREE,BUSY
03/21/24,06:05 PM,06:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,"Local TV: MASN",03/21/24,03/21/24,09:05 PM,09:05 PM,FALSE,TRUE,03/21/24,05:05 PM,05:05 PM,FREE,BUSY
03/23/24,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park - Port Charlotte,"",03/23/24,03/23/24,04:05 PM,04:05 PM,FALSE,TRUE,03/23/24,12:05 PM,12:05 PM,FREE,BUSY
03/23/24,06:05 PM,06:05 PM,Blue Jays at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN ----- Local Radio: 98 Rock FM/WBAL NewsRadio FM/AM",03/23/24,03/23/24,09:05 PM,09:05 PM,FALSE,TRUE,03/23/24,05:05 PM,05:05 PM,FREE,BUSY
03/24/24,01:05 PM,01:05 PM,Orioles at Twins,Lee Health Sports Complex - Fort Myers,"Local Radio: 98 Rock FM/WBAL NewsRadio FM/AM",03/24/24,03/24/24,04:05 PM,04:05 PM,FALSE,TRUE,03/24/24,12:05 PM,12:05 PM,FREE,BUSY
03/28/24,03:05 PM,03:05 PM,Angels at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",03/28/24,03/28/24,06:05 PM,06:05 PM,FALSE,TRUE,03/28/24,02:05 PM,02:05 PM,FREE,BUSY
03/30/24,04:05 PM,04:05 PM,Angels at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",03/30/24,03/30/24,07:05 PM,07:05 PM,FALSE,TRUE,03/30/24,03:05 PM,03:05 PM,FREE,BUSY
03/31/24,01:35 PM,01:35 PM,Angels at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",03/31/24,03/31/24,04:35 PM,04:35 PM,FALSE,TRUE,03/31/24,12:35 PM,12:35 PM,FREE,BUSY
